iter	MultiClass
0	1.218092992
1	1.090646063
2	0.9749901859
3	0.8869502687
4	0.8073198975
5	0.7447736849
6	0.696601702
7	0.6445475329
8	0.6042443077
9	0.5649908988
10	0.5302682764
11	0.4996293863
12	0.4724813363
13	0.4452328255
14	0.422598102
15	0.3997860229
16	0.3808787698
17	0.364797522
18	0.3496154052
19	0.3356903295
20	0.3208937409
21	0.3095324939
22	0.2983083631
23	0.2871145913
24	0.2766848274
25	0.2669067502
26	0.2581468058
27	0.2508888748
28	0.243564106
29	0.2377944208
30	0.2312648512
31	0.2243725126
32	0.21871971
33	0.2135947473
34	0.2082085859
35	0.2029230571
36	0.1983367441
37	0.1941681121
38	0.1900449447
39	0.1852195612
40	0.1812744686
41	0.1777239986
42	0.1748395646
43	0.1721127005
44	0.1692534182
45	0.165467326
46	0.1622680636
47	0.1594433434
48	0.1570846108
49	0.1543572053
50	0.152154115
51	0.149692786
52	0.1478514203
53	0.1455344523
54	0.1430465712
55	0.1417981168
56	0.1389652446
57	0.1368596405
58	0.1341267061
59	0.1323372632
60	0.1304866045
61	0.1289114438
62	0.1266732094
63	0.1252317945
64	0.1238728263
65	0.1222180767
66	0.1205189325
67	0.1197245689
68	0.1184164071
69	0.1174125027
70	0.1162728137
71	0.1151429622
72	0.1134707038
73	0.1125555541
74	0.1113027546
75	0.1106024785
76	0.1086946789
77	0.1078314048
78	0.1071334571
79	0.1062806983
80	0.1047721717
81	0.103411036
82	0.1021917187
83	0.1014683357
84	0.1008047563
85	0.09926944926
86	0.09809777774
87	0.09749503004
88	0.09659517367
89	0.095010697
90	0.09414852856
91	0.0933207988
92	0.09263700877
93	0.09162465027
94	0.09105919128
95	0.09045036165
96	0.08978808157
97	0.08875729345
98	0.08743009249
99	0.08670946088
100	0.08574103884
101	0.08538261292
102	0.08472365834
103	0.08414707164
104	0.08326463655
105	0.08286594482
106	0.08236475267
107	0.08142494059
108	0.08090746901
109	0.08058328483
110	0.07989337888
111	0.07938275537
112	0.07877321731
113	0.07826999023
114	0.07772297452
115	0.07743311083
116	0.07697684599
117	0.07657080113
118	0.07596905977
119	0.07570516627
120	0.07531674221
121	0.07494037988
122	0.07470042619
123	0.07434796592
124	0.07391057598
125	0.07336825258
126	0.07263120983
127	0.07182786201
128	0.07124694837
129	0.07080245184
130	0.07032527121
131	0.07005141842
132	0.06980869747
133	0.06934127649
134	0.06897099898
135	0.06858316732
136	0.06831852543
137	0.06784862692
138	0.06734938078
139	0.06720034956
140	0.06687298484
141	0.06651979769
142	0.06575714643
143	0.06547009627
144	0.06484876545
145	0.0644363951
146	0.06420432115
147	0.06394088544
148	0.06362275972
149	0.06278641736
150	0.06248697087
151	0.06202511051
152	0.06179256168
153	0.06149958925
154	0.0612058982
155	0.06092301382
156	0.060549219
157	0.06022455142
158	0.05994316822
159	0.05963157726
160	0.05938631888
161	0.05886389513
162	0.05862332882
163	0.05829625667
164	0.05760264142
165	0.05731009941
166	0.05707216252
167	0.05674185349
168	0.05644543274
169	0.05602316881
170	0.0557678486
171	0.05535000691
172	0.05492554195
173	0.05457825348
174	0.05422282936
175	0.05407744
176	0.05368847531
177	0.05339649242
178	0.05326522204
179	0.05305813948
180	0.05277683944
181	0.05224808197
182	0.05196112899
183	0.05164795693
184	0.05148810409
185	0.05124592029
186	0.05106555981
187	0.05073252279
188	0.0505857062
189	0.05036686166
190	0.05006953619
191	0.04979053245
192	0.04930446895
193	0.04873514788
194	0.04855614968
195	0.04829463742
196	0.04797041202
197	0.04780085161
198	0.04764708649
199	0.04735574292
200	0.04697720423
201	0.04678568749
202	0.04657874035
203	0.04638258184
204	0.04605736876
205	0.04584111289
206	0.04551620197
207	0.04522469162
208	0.04503727068
209	0.04477183541
210	0.044636821
211	0.04435880625
212	0.04411506042
213	0.04396775535
214	0.04382490433
215	0.04357031111
216	0.04334700728
217	0.04316669633
218	0.04291734068
219	0.04277820612
220	0.04252843811
221	0.04228444767
222	0.04207813086
223	0.04180943575
224	0.04149893745
225	0.04130514337
226	0.04115770352
227	0.04081922613
228	0.04062963741
229	0.04040387855
230	0.04033807306
231	0.04021502734
232	0.04003929087
233	0.03992314655
234	0.03966555358
235	0.03947256069
236	0.03907721707
237	0.03892069093
238	0.03865397916
239	0.03857288107
240	0.03843995544
241	0.03818693549
242	0.03802174762
243	0.03781284606
244	0.03766576623
245	0.03750956023
246	0.03736226718
247	0.03726507843
248	0.03705664298
249	0.03694225073
250	0.03674014513
251	0.03655696801
252	0.03641103064
253	0.03629512703
254	0.03620348151
255	0.03589661433
256	0.03572693549
257	0.03561443872
258	0.03552234683
259	0.03531342149
260	0.03519541861
261	0.03507543544
262	0.03495510427
263	0.0348490666
264	0.03459148198
265	0.03449256484
266	0.03430326246
267	0.03416732658
268	0.03405086367
269	0.03395981382
270	0.03384419284
271	0.03362288754
272	0.03354987481
273	0.0334452104
274	0.03328951739
275	0.03314426366
276	0.03308139047
277	0.03296933795
278	0.03290382627
279	0.03276800094
280	0.0327038745
281	0.03259829784
282	0.03243085315
283	0.03235808585
284	0.03223829017
285	0.03212337509
286	0.0319237016
287	0.03181501016
288	0.03170032652
289	0.03156985982
290	0.03147309827
291	0.03132214674
292	0.03122183417
293	0.031081759
294	0.03094643888
295	0.03073554629
296	0.03065391682
297	0.03053789516
298	0.03045158174
299	0.03035130575
